Unnamed: 0	Skupina: RIT 2 UN Erasmus., RIT 2 UN - UP2, RIT 2 UN - UP2 RV 1, RIT 	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Zadnja sprememba: 05.03.2024 13:48	Unnamed: 9
	Predavanja								
	Dan	Datum	Ura	Prostor	Opis		Skupina		Izvajalec
	Torek	27.02.2024	08:00-11:00	A-302	SV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2		MATEJ KRAMBERGER
	Torek	27.02.2024	11:00-13:00	G2-P2 BETA, pritličje	PR UMETNA INTELIGENCA		RIT 2 UN - UP2, RIT 3 UN		DAMJAN STRNAD
	Sreda	28.02.2024	10:00-12:00	G2-P2 BETA, pritličje	PR SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2		ALEŠ HOLOBAR
	Sreda	28.02.2024	15:00-18:00	A-306	SV UMETNA INTELIGENCA		RIT 2 UN - UP2, RIT 3 UN		MLADEN BOROVIČ
	Četrtek	29.02.2024	13:00-15:00	G2-P01, pritličje	PR SIGNALI IN SLIKE		RIT 2 UN - UP2		ALEŠ HOLOBAR
	Četrtek	29.02.2024	15:00-18:00	G2-P01, pritličje	SV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2		ALJAŽ JEROMEL
	Petek	01.03.2024	09:00-11:00	G2-P2 BETA, pritličje	PR UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2		BORUT ŽALIK
	Petek	01.03.2024	11:00-14:00	A-306	SV SIGNALI IN SLIKE		RIT 2 UN - UP2		MATJAŽ DIVJAK
	Ponedeljek	04.03.2024	09:00-12:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 1		MATJAŽ DIVJAK
	Ponedeljek	04.03.2024	12:00-15:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 3		MATJAŽ DIVJAK, LEON KUTOŠ
	Ponedeljek	04.03.2024	17:00-20:00	(RU) E-110	RV UVOD V RAČUNALNIŠKO GEOMETRIJO		RIT 2 UN - UP2 RV 3		ALJAŽ JEROMEL
	Torek	05.03.2024	11:00-13:00	G2-P2 BETA, pritličje	PR UMETNA INTELIGENCA		RIT 2 UN - UP2, RIT 3 UN		DAMJAN STRNAD
	Sreda	06.03.2024	10:00-12:00	G2-P2 BETA, pritličje	PR SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2		ALEŠ HOLOBAR
	Sreda	06.03.2024	12:00-15:00	(RU) E-110	RV SISTEMSKA PROGRAMSKA OPREMA		RIT 2 UN - UP2 RV 1		MATJAŽ DIVJAK
	Sreda	06.03.2024	12:00-15:00	(RU) F-104	RV SIGNALI IN SLIKE		RIT 2 UN - UP2 RV 2		LEON KUTOŠ
